f_1,f_2,f_3,f_4,f_5,e_1,e_2,e_3,e_4,t,y,y_obs
0.0,0.0,0.0,1.0,1.0,1.0,0.2217787913340934,-0.9956446275474546,0.09322969288745998,0.2217787913340934,0.9945704823996786,0.9913793103448191
1.0,0.0,1.0,1.0,0.0,1.0,0.8546180159635115,-0.9494239950850418,0.3139969387697254,0.8546180159635115,0.37083957575063203,0.3706896551724106
1.0,1.0,0.0,1.0,1.0,1.0,0.5649942987457237,0.024616458204516346,-0.9996969690788633,0.5649942987457237,0.13048553743259292,0.1293103448275851
0.0,0.0,1.0,0.0,1.0,1.0,0.9817559863169892,-0.9237209827494377,0.38306598129880054,0.9817559863169892,0.08501166172421126,0.07758620689655106
0.0,0.0,0.0,1.0,1.0,1.0,0.31641961231470905,-0.11277690778664098,-0.9936203344688972,0.31641961231470905,0.5681117109074273,0.5775862068965467
0.0,1.0,1.0,0.0,0.0,1.0,0.8112884834663622,0.2727789295082265,-0.9620767410224333,0.8112884834663622,0.3339022515504418,0.31896551724137656
0.0,0.0,1.0,0.0,0.0,1.0,0.6562143671607751,0.9845511496907495,0.17509721197844172,0.6562143671607751,0.7107419476047385,0.7241379310344765
0.0,0.0,0.0,1.0,0.0,1.0,0.7343215507411627,-0.8321837215678599,0.5545000032078148,0.7343215507411627,0.07716749128217196,0.07758620689655106
0.0,0.0,0.0,1.0,1.0,1.0,0.05245153933865448,0.49602569127707,-0.8683078449450429,0.05245153933865448,0.26800988077333376,0.26724137931034253
1.0,1.0,0.0,1.0,1.0,1.0,0.5632839224629416,0.10991522635326349,-0.9939409655586747,0.5632839224629416,0.131860761279317,0.1293103448275851
1.0,0.0,1.0,1.0,1.0,1.0,0.7508551881413907,-0.15571618006731996,0.9878018380552053,0.7508551881413907,0.9572029156904744,0.9655172413793021
1.0,0.0,0.0,0.0,1.0,1.0,0.45210946408209784,-0.5764067656255082,-0.817162921663202,0.45210946408209784,0.710758691394565,0.7241379310344765
1.0,1.0,0.0,1.0,0.0,1.0,0.45724059293044444,-0.7648967785074383,-0.6441528686802093,0.45724059293044444,0.9779290139937062,0.9741379310344744
0.0,1.0,1.0,0.0,0.0,1.0,0.5883694412770807,-0.9103537930965528,-0.41383084877123233,0.5883694412770807,0.20599866683744592,0.20689655172413615
0.0,0.0,0.0,0.0,1.0,1.0,0.3135689851767387,0.029509724470871614,-0.9995644932477612,0.3135689851767387,0.08228505494841443,0.0862068965517234
1.0,0.0,0.0,1.0,0.0,1.0,0.25256556442417316,0.061868070408320965,0.9980843360477866,0.25256556442417316,0.5438632147348543,0.5517241379310297
1.0,1.0,1.0,1.0,0.0,1.0,0.2537058152793613,0.11864005290674258,0.9929373282570684,0.2537058152793613,0.5618801798734205,0.5603448275862021
0.0,0.0,0.0,1.0,1.0,1.0,0.559293044469783,0.3047554539977206,-0.9524306343554072,0.559293044469783,0.37377373377949485,0.3620689655172383
0.0,0.0,1.0,1.0,1.0,1.0,0.004561003420752563,0.22607860843537422,0.9741090610439495,0.004561003420752563,0.6026623937528013,0.6120689655172361
0.0,1.0,1.0,1.0,1.0,1.0,0.9503990877993154,-0.3857905798928956,-0.9225863799481885,0.9503990877993154,0.7402668778098752,0.7413793103448212
1.0,0.0,0.0,1.0,0.0,1.0,0.36374002280501694,-0.6151331062711847,0.7884232756388941,0.36374002280501694,0.5422888707417488,0.5517241379310297
0.0,0.0,1.0,1.0,1.0,1.0,0.8797035347776506,0.0028795846458195555,0.9999958539875391,0.8797035347776506,0.7292013063247914,0.7413793103448212
1.0,1.0,0.0,1.0,1.0,1.0,0.8791334093500566,-0.025623877891188498,0.999671654535537,0.8791334093500566,0.06714715389967155,0.06034482758620638
0.0,1.0,1.0,1.0,0.0,1.0,0.14994298745724052,0.9370080389424674,0.34930779401151574,0.14994298745724052,0.4901201468350411,0.4999999999999957
1.0,0.0,1.0,1.0,0.0,1.0,0.9161915621436711,0.96728773826592,-0.2536817522022456,0.9161915621436711,0.20454812688257276,0.20689655172413615
0.0,0.0,0.0,1.0,0.0,1.0,0.6197263397947546,-0.4165158614941743,0.9091284491884333,0.6197263397947546,0.10330194994159864,0.09482758620689574
1.0,1.0,1.0,1.0,1.0,1.0,0.004561003420752563,0.22607860843537422,0.9741090610439495,0.004561003420752563,0.18087388578186192,0.18103448275861914
1.0,1.0,0.0,1.0,0.0,1.0,0.0963511972633979,-0.9944746384876135,0.1049771089568103,0.0963511972633979,0.9184916034356235,0.9310344827586127
0.0,1.0,1.0,1.0,1.0,1.0,0.16989737742303299,0.8015655882554157,-0.5979068553919995,0.16989737742303299,0.6717420956579904,0.6724137931034425
0.0,0.0,1.0,1.0,1.0,1.0,0.4082098061573544,0.9999513714592508,0.009861780608158082,0.4082098061573544,0.09388561520807927,0.09482758620689574
0.0,0.0,1.0,1.0,0.0,1.0,0.3044469783352336,0.4667517725399337,-0.8843883665171257,0.3044469783352336,0.32332856933346,0.31896551724137656
1.0,1.0,1.0,1.0,0.0,1.0,0.34492588369441257,-0.9994730448628024,-0.03245970721801008,0.34492588369441257,0.9818591998432735,0.9827586206896467
0.0,0.0,1.0,0.0,1.0,1.0,0.9948688711516529,-0.49864850022360474,0.8668042877286368,0.9948688711516529,0.05816671113931321,0.06896551724137871
0.0,0.0,1.0,1.0,0.0,1.0,0.18072976054732032,0.37860620390822003,-0.9255578546812767,0.18072976054732032,0.2504017402821281,0.2586206896551702
0.0,0.0,1.0,1.0,1.0,1.0,0.9754846066134545,-0.9968380278718221,0.07946034349671699,0.9754846066134545,0.9939869093459023,0.9999999999999915
1.0,0.0,0.0,1.0,0.0,1.0,0.7685290763968069,0.6648865907140272,0.7469443228840272,0.7685290763968069,0.5037713026933748,0.4999999999999957
0.0,0.0,0.0,1.0,1.0,1.0,0.14139110604332947,0.7077936358696205,0.7064192586718337,0.14139110604332947,0.17384726661074812,0.18103448275861914
