f_1,f_2,f_3,f_4,f_5,f_6,f_7,e_1,e_2,e_3,e_4,t,y,y_obs
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1174458380843785,-0.3994285272550497,0.9167643381015984,0.1174458380843785,0.18932450424852085,0.18965517241379148
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2217787913340934,-0.9956446275474546,0.09322969288745998,0.2217787913340934,0.9955753111444465,0.9913793103448191
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25712656784492577,0.28591176576888017,0.9582559481656877,0.25712656784492577,0.569620243953244,0.5603448275862021
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8546180159635115,-0.9494239950850418,0.3139969387697254,0.8546180159635115,0.3685200912502745,0.3706896551724106
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5649942987457237,0.024616458204516346,-0.9996969690788633,0.5649942987457237,0.13061853644864105,0.1293103448275851
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9817559863169892,-0.9237209827494377,0.38306598129880054,0.9817559863169892,0.07115419873018727,0.07758620689655106
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.31641961231470905,-0.11277690778664098,-0.9936203344688972,0.31641961231470905,0.5792329434941252,0.5775862068965467
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8278221208665902,-0.5230295151587675,-0.8523145700225853,0.8278221208665902,1.0013169168624263,0.9913793103448191
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8112884834663622,0.2727789295082265,-0.9620767410224333,0.8112884834663622,0.32415737449693627,0.31896551724137656
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6562143671607751,0.9845511496907495,0.17509721197844172,0.6562143671607751,0.7358311291351857,0.7241379310344765
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7343215507411627,-0.8321837215678599,0.5545000032078148,0.7343215507411627,0.08129789130627163,0.07758620689655106
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.05245153933865448,0.49602569127707,-0.8683078449450429,0.05245153933865448,0.26062673903271144,0.26724137931034253
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5632839224629416,0.10991522635326349,-0.9939409655586747,0.5632839224629416,0.12648124449548392,0.1293103448275851
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7508551881413907,-0.15571618006731996,0.9878018380552053,0.7508551881413907,0.9565239097384948,0.9655172413793021
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5228050171037626,0.8455046881174656,0.5339679975161314,0.5228050171037626,0.8037936856596702,0.8103448275862
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.45210946408209784,-0.5764067656255082,-0.817162921663202,0.45210946408209784,0.7266395139079758,0.7241379310344765
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.45724059293044444,-0.7648967785074383,-0.6441528686802093,0.45724059293044444,0.9664256342634406,0.9741379310344744
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5883694412770807,-0.9103537930965528,-0.41383084877123233,0.5883694412770807,0.19507462448153173,0.20689655172413615
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3135689851767387,0.029509724470871614,-0.9995644932477612,0.3135689851767387,0.08499189615447483,0.0862068965517234
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.25256556442417316,0.061868070408320965,0.9980843360477866,0.25256556442417316,0.5548457745075845,0.5517241379310297
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2537058152793613,0.11864005290674258,0.9929373282570684,0.2537058152793613,0.5595957318083535,0.5603448275862021
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.559293044469783,0.3047554539977206,-0.9524306343554072,0.559293044469783,0.3534834738315022,0.3620689655172383
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.004561003420752563,0.22607860843537422,0.9741090610439495,0.004561003420752563,0.6183907251031148,0.6120689655172361
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9503990877993154,-0.3857905798928956,-0.9225863799481885,0.9503990877993154,0.740124262654087,0.7413793103448212
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.4486887115165334,-0.4289110780569238,-0.9033467147889824,0.4486887115165334,0.463208475330067,0.456896551724134
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5518814139110602,0.6289976490794454,-0.7774072018270289,0.5518814139110602,0.015127171148163143,0.02586206896551702
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08152793614595207,-0.8044827655451643,-0.593975992731023,0.08152793614595207,0.8914588979993459,0.8793103448275786
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.36374002280501694,-0.6151331062711847,0.7884232756388941,0.36374002280501694,0.561780136085034,0.5517241379310297
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8797035347776506,0.0028795846458195555,0.9999958539875391,0.8797035347776506,0.7473425532003067,0.7413793103448212
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8791334093500566,-0.025623877891188498,0.999671654535537,0.8791334093500566,0.052308738748198025,0.06034482758620638
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3683010262257695,-0.4209610955523695,0.9070786934061171,0.3683010262257695,0.6902455532662326,0.6810344827586149
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5524515393386542,0.6065841228524664,-0.7950193091386548,0.5524515393386542,0.606267114990741,0.6120689655172361
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.14994298745724052,0.9370080389424674,0.34930779401151574,0.14994298745724052,0.4881579021604441,0.4999999999999957
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9161915621436711,0.96728773826592,-0.2536817522022456,0.9161915621436711,0.2018083340159286,0.20689655172413615
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6197263397947546,-0.4165158614941743,0.9091284491884333,0.6197263397947546,0.09871673180893503,0.09482758620689574
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.004561003420752563,0.22607860843537422,0.9741090610439495,0.004561003420752563,0.18029388576245287,0.18103448275861914
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0963511972633979,-0.9944746384876135,0.1049771089568103,0.0963511972633979,0.9392065667237942,0.9310344827586127
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16989737742303299,0.8015655882554157,-0.5979068553919995,0.16989737742303299,0.6847990704637559,0.6724137931034425
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4082098061573544,0.9999513714592508,0.009861780608158082,0.4082098061573544,0.10627889136725599,0.09482758620689574
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3044469783352336,0.4667517725399337,-0.8843883665171257,0.3044469783352336,0.3183695418421704,0.31896551724137656
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.34492588369441257,-0.9994730448628024,-0.03245970721801008,0.34492588369441257,0.9883621566566667,0.9827586206896467
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948688711516529,-0.49864850022360474,0.8668042877286368,0.9948688711516529,0.07282320369086893,0.06896551724137871
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.18072976054732032,0.37860620390822003,-0.9255578546812767,0.18072976054732032,0.265724731364142,0.2586206896551702
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9754846066134545,-0.9968380278718221,0.07946034349671699,0.9754846066134545,0.9944349217876686,0.9999999999999915
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5838084378563281,-0.79322557619325,-0.6089278982547003,0.5838084378563281,0.2785864041359283,0.27586206896551485
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7685290763968069,0.6648865907140272,0.7469443228840272,0.7685290763968069,0.5102393107053698,0.4999999999999957
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.005131128848346634,0.2537512146915578,0.967269518305296,0.005131128848346634,0.8028813116304031,0.7931034482758552
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.14139110604332947,0.7077936358696205,0.7064192586718337,0.14139110604332947,0.18005634872251902,0.18103448275861914
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16419612314709228,0.9373595737447618,-0.34836335844781186,0.16419612314709228,0.987278429846924,0.9827586206896467
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6026225769669324,-0.95938039931377,0.282115666726525,0.6026225769669324,0.996567820843102,0.9913793103448191
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.3084378563283921,0.28218456129843045,-0.9593601374691428,0.3084378563283921,0.2301049002464856,0.2155172413793085
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.08551881413911055,-0.9062587739476776,-0.42272335474025063,0.08551881413911055,0.43751042988481914,0.431034482758617
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.030216647662485732,0.9982027013683132,0.059928014993008774,0.030216647662485732,0.030388732891207738,0.02586206896551702
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5610034207525653,0.2222902299746025,-0.9749805401431552,0.5610034207525653,0.38995610705922673,0.37931034482758297
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.41277080957810697,0.9762912291783682,-0.21646116471411533,0.41277080957810697,0.023300663687524273,0.02586206896551702
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7588369441277077,0.24035869609954363,0.9706841387440754,0.7588369441277077,0.4590172817222238,0.4482758620689617
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5598631698973772,0.27748506989709115,-0.9607299495613774,0.5598631698973772,0.12084462288043052,0.1293103448275851
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2810718358038767,0.9965096294107889,0.08347789223244712,0.2810718358038767,0.011684328194668539,0.017241379310344678
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999994,-0.26237485370395625,0.9649660284921059,0.9999999999999994,0.31599972425149947,0.31034482758620424
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7360319270239449,-0.7817800985515483,0.6235542298058218,0.7360319270239449,0.7670637330375105,0.7586206896551659
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.631128848346636,0.14005393010098202,0.9901438767488637,0.631128848346636,0.14870443484831586,0.15517241379310212
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7462941847206381,-0.3750054069121549,0.9270226236649508,0.7462941847206381,-0.0009952419152716718,0.008620689655172339
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8551881413911055,-0.9400885969340179,0.34093024200652805,0.8551881413911055,0.010938798396788352,0.008620689655172339
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736602052451539,-0.763689681056902,0.6455835120626976,0.736602052451539,0.023563225926697032,0.017241379310344678
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3295324971493727,-0.6951737562418139,-0.7188417410199879,0.3295324971493727,0.9764745847635737,0.9913793103448191
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.7924743443557578,0.9380597872282505,-0.34647342695405875,0.7924743443557578,0.9807888617830078,0.9827586206896467
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3249714937286201,-0.5146603144600466,-0.8573941688161203,0.3249714937286201,0.976933916736561,0.9913793103448191
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5245153933865447,0.8880234559493955,0.45979815319734807,0.5245153933865447,0.009728907868487596,0.017241379310344678
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33922462941847187,-0.9500100868844329,-0.3122192095592974,0.33922462941847187,0.5117937452580036,0.508620689655168
