iter	Logloss
0	0.6796239685
1	0.6675807831
2	0.6563360352
3	0.6481192474
4	0.6402978119
5	0.6345338074
6	0.6291231323
7	0.6245674469
8	0.6206562103
9	0.6175253693
10	0.6144227448
11	0.6122167084
12	0.6099432526
13	0.6080192474
14	0.6065035767
15	0.6050404327
16	0.6037613312
17	0.6027416626
18	0.601833609
19	0.6009241608
20	0.6002261017
21	0.5996071747
22	0.5993712311
23	0.5988646515
24	0.5984251587
25	0.5980288116
26	0.5976510773
27	0.5973841095
28	0.5970509338
29	0.5967931549
30	0.5965192291
31	0.5963011322
32	0.5960649506
33	0.5959217133
34	0.5956859039
35	0.5956041199
36	0.5954044312
37	0.595277771
38	0.5951207886
39	0.5949605927
40	0.5948441101
41	0.5947022034
42	0.5945378418
43	0.5944166168
44	0.5943164673
45	0.5942150665
46	0.5940802795
47	0.5939647369
48	0.5938568329
49	0.5938496674
50	0.5937302399
51	0.5936049622
52	0.5934997467
53	0.5934169403
54	0.5932623108
55	0.5931774872
56	0.5930883209
57	0.592991748
58	0.5928896362
59	0.5927898529
60	0.5926764832
61	0.5925692963
62	0.5924541687
63	0.5923215973
64	0.592230835
65	0.5921223175
66	0.5920536896
67	0.5919406464
68	0.5918576263
69	0.5917896179
70	0.5917118683
71	0.5916142731
72	0.5915300934
73	0.5914291504
74	0.5913499451
75	0.5912675293
76	0.5911668945
77	0.5910867584
78	0.5909978119
79	0.5909396545
80	0.5908596863
81	0.5907706482
82	0.5906886322
83	0.5906157227
84	0.5905358398
85	0.5904423157
86	0.5903680725
87	0.5903061554
88	0.5902145935
89	0.5901329346
90	0.5900759979
91	0.590005835
92	0.5899186554
93	0.5898490814
94	0.5897740112
95	0.589715921
96	0.5896489105
97	0.589579306
98	0.5895035034
99	0.5894396637
100	0.5893778564
101	0.5893110687
102	0.5892351715
103	0.5891722015
104	0.5891028473
105	0.5890346741
106	0.5889848694
107	0.5889147797
108	0.5888394958
109	0.5887705505
110	0.5886881805
111	0.5886309937
112	0.5885682861
113	0.5885103119
114	0.5884509521
115	0.5883769989
116	0.5883197968
117	0.5882576111
118	0.588208902
119	0.5881457977
120	0.5880873871
121	0.5880231415
122	0.5879676239
123	0.5879187164
124	0.5878676483
125	0.5878206177
126	0.5877773285
127	0.5877215881
128	0.5876660004
129	0.5876084869
130	0.5875576355
131	0.5875243225
132	0.5874605469
133	0.5874169037
134	0.5873703339
135	0.5873137726
136	0.5872708008
137	0.5872160156
138	0.587157309
139	0.5871066467
140	0.5870615479
141	0.587013208
142	0.5869630859
143	0.5869288177
144	0.5868843079
145	0.5868321381
146	0.5867896515
147	0.5867391876
148	0.586688797
149	0.586657608
