iter	Passed	Remaining
0	52	7816
1	58	4328
2	65	3201
3	71	2617
4	78	2269
5	84	2029
6	91	1862
7	97	1730
8	104	1633
9	111	1557
10	117	1489
11	124	1427
12	130	1373
13	136	1325
14	142	1285
15	149	1254
16	156	1225
17	160	1175
18	166	1144
19	170	1110
20	175	1075
21	179	1045
22	182	1007
23	186	979
24	190	952
25	194	926
26	198	903
27	202	884
28	206	862
29	210	841
30	213	818
31	216	797
32	220	780
33	223	763
34	228	749
35	232	737
36	236	722
37	241	712
38	245	698
39	249	685
40	252	672
41	259	666
42	263	655
43	268	647
44	273	638
45	278	630
46	284	623
47	289	614
48	294	607
49	296	593
50	300	583
51	306	577
52	311	569
53	315	561
54	319	551
55	323	542
56	327	535
57	330	524
58	334	515
59	337	506
60	340	497
61	344	489
62	347	480
63	350	471
64	353	462
65	356	454
66	359	445
67	362	437
68	366	429
69	368	421
70	371	413
71	375	406
72	378	399
73	381	391
74	384	384
75	387	376
76	390	370
77	393	362
78	396	356
79	399	349
80	402	343
81	405	336
82	408	329
83	410	322
84	413	315
85	415	308
86	417	302
87	418	295
88	420	288
89	422	281
90	424	275
91	426	268
92	428	262
93	430	256
94	432	250
95	434	244
96	437	238
97	439	233
98	441	227
99	444	222
100	446	216
101	449	211
102	452	206
103	454	201
104	457	196
105	460	191
106	463	186
107	466	181
108	469	176
109	473	172
110	477	167
111	480	163
112	483	158
113	487	153
114	490	149
115	493	144
116	497	140
117	502	136
118	506	131
119	510	127
120	514	123
121	518	119
122	522	114
123	526	110
124	530	106
125	533	101
126	537	97
127	540	92
128	543	88
129	545	83
130	548	79
131	551	75
132	553	70
133	555	66
134	558	62
135	561	57
136	563	53
137	566	49
138	568	44
139	570	40
140	573	36
141	575	32
142	578	28
143	580	24
144	583	20
145	585	16
146	587	11
147	589	7
148	591	3
149	593	0
