label,t,f_up_0,f_up_1,f_up_2,f_up_3,f_up_4,f_up_5,f_up_6,f_up_7,f_down_0,f_down_1,f_down_2,f_down_3,f_down_4,f_down_5,f_down_6,f_down_7
0,0.12836128361283614,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0.1091310913109131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.04214042140421404,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0.08198081980819807,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0.3140331403314033,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.13917139171391713,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
0,0.27440274402744025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.11667116671166712,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0.2961629616296163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.3986439864398644,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
0,0.07817078170781708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0.34101341013410136,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.1013110131101311,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0.3189631896318963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.14655146551465514,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0.14706147061470615,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0,0.2687026870268703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.2897128971289713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.37394373943739434,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.12434124341243412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05032050320503205,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0.04070040700407004,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
1,0.0997509975099751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.17971179711797117,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1,0.3881338813388134,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0.05112051120511205,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0.14673146731467315,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0.34932349323493234,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.26354263542635425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
