bench,model,seed,metric,value
rho0.0_drift0.0,gbdte,0,rmse,0.22970573207135708
rho0.0_drift0.0,gbdte_auto,0,rmse,0.07618111742782394
rho0.0_drift0.0,gbdte_wrong,0,rmse,0.5908766018184263
rho0.0_drift0.0,gbdte_const,0,rmse,0.05249954453540114
rho0.0_drift0.0,gbdte,1,rmse,0.1898841004778059
rho0.0_drift0.0,gbdte_auto,1,rmse,0.06361099899688888
rho0.0_drift0.0,gbdte_wrong,1,rmse,0.5331332872388164
rho0.0_drift0.0,gbdte_const,1,rmse,0.05112618805425901
rho0.0_drift0.0,gbdte,2,rmse,0.20241094108207294
rho0.0_drift0.0,gbdte_auto,2,rmse,0.1151991139636531
rho0.0_drift0.0,gbdte_wrong,2,rmse,0.5337721788010629
rho0.0_drift0.0,gbdte_const,2,rmse,0.05257050119411503
rho0.0_drift0.0,gbdte,3,rmse,0.21963811492331378
rho0.0_drift0.0,gbdte_auto,3,rmse,0.0642763345072482
rho0.0_drift0.0,gbdte_wrong,3,rmse,0.4943396233960344
rho0.0_drift0.0,gbdte_const,3,rmse,0.05179063853811807
rho0.0_drift0.0,gbdte,4,rmse,0.2588679900980633
rho0.0_drift0.0,gbdte_auto,4,rmse,0.06929671220259942
rho0.0_drift0.0,gbdte_wrong,4,rmse,0.4910611495820463
rho0.0_drift0.0,gbdte_const,4,rmse,0.05432943133945972
rho0.0_drift0.0,gbdte,5,rmse,0.23033008439442978
rho0.0_drift0.0,gbdte_auto,5,rmse,0.06795316788410824
rho0.0_drift0.0,gbdte_wrong,5,rmse,0.6372556625839276
rho0.0_drift0.0,gbdte_const,5,rmse,0.05200873919791934
rho0.0_drift0.0,gbdte,6,rmse,0.2481776881829348
rho0.0_drift0.0,gbdte_auto,6,rmse,0.0656484954914899
rho0.0_drift0.0,gbdte_wrong,6,rmse,0.7942650942938362
rho0.0_drift0.0,gbdte_const,6,rmse,0.05242735266130309
rho0.0_drift0.0,gbdte,7,rmse,0.2507784245801967
rho0.0_drift0.0,gbdte_auto,7,rmse,0.06824236203840575
rho0.0_drift0.0,gbdte_wrong,7,rmse,0.5241769476338138
rho0.0_drift0.0,gbdte_const,7,rmse,0.05293695905320808
rho0.0_drift0.0,gbdte,8,rmse,0.2073691593755099
rho0.0_drift0.0,gbdte_auto,8,rmse,0.07601329363384467
rho0.0_drift0.0,gbdte_wrong,8,rmse,0.5214461637327863
rho0.0_drift0.0,gbdte_const,8,rmse,0.053536978976152796
rho0.0_drift0.0,gbdte,9,rmse,0.20228614158925884
rho0.0_drift0.0,gbdte_auto,9,rmse,0.07049599658230662
rho0.0_drift0.0,gbdte_wrong,9,rmse,0.5053527399870883
rho0.0_drift0.0,gbdte_const,9,rmse,0.053291190008863974
rho0.0_drift0.5,gbdte,0,rmse,0.23140763701615016
rho0.0_drift0.5,gbdte_auto,0,rmse,1.225635348146427
rho0.0_drift0.5,gbdte_wrong,0,rmse,0.7794871846288802
rho0.0_drift0.5,gbdte_const,0,rmse,0.4824620611764585
rho0.0_drift0.5,gbdte,1,rmse,0.22667633752999145
rho0.0_drift0.5,gbdte_auto,1,rmse,1.2054981326639016
rho0.0_drift0.5,gbdte_wrong,1,rmse,1.3454059276808121
rho0.0_drift0.5,gbdte_const,1,rmse,0.4724528395363146
rho0.0_drift0.5,gbdte,2,rmse,0.2347633181868709
rho0.0_drift0.5,gbdte_auto,2,rmse,1.2465037253944173
rho0.0_drift0.5,gbdte_wrong,2,rmse,0.6507967456975339
rho0.0_drift0.5,gbdte_const,2,rmse,0.47552981683665557
rho0.0_drift0.5,gbdte,3,rmse,0.24316321304305782
rho0.0_drift0.5,gbdte_auto,3,rmse,1.2115823607946161
rho0.0_drift0.5,gbdte_wrong,3,rmse,0.6092179926765721
rho0.0_drift0.5,gbdte_const,3,rmse,0.4585318249329528
rho0.0_drift0.5,gbdte,4,rmse,0.22561524886966416
rho0.0_drift0.5,gbdte_auto,4,rmse,1.176686688484435
rho0.0_drift0.5,gbdte_wrong,4,rmse,0.6835585108845069
rho0.0_drift0.5,gbdte_const,4,rmse,0.4814767031534767
rho0.0_drift0.5,gbdte,5,rmse,0.2298433830742449
rho0.0_drift0.5,gbdte_auto,5,rmse,1.1822207244192535
rho0.0_drift0.5,gbdte_wrong,5,rmse,0.7383703477502489
rho0.0_drift0.5,gbdte_const,5,rmse,0.46623761648408735
rho0.0_drift0.5,gbdte,6,rmse,0.31773658147496064
rho0.0_drift0.5,gbdte_auto,6,rmse,1.1568785546563145
rho0.0_drift0.5,gbdte_wrong,6,rmse,0.9743318985410274
rho0.0_drift0.5,gbdte_const,6,rmse,0.4762511354839839
rho0.0_drift0.5,gbdte,7,rmse,0.2633240604289082
rho0.0_drift0.5,gbdte_auto,7,rmse,1.2009851854802915
rho0.0_drift0.5,gbdte_wrong,7,rmse,0.7871778695154649
rho0.0_drift0.5,gbdte_const,7,rmse,0.47319799096015025
rho0.0_drift0.5,gbdte,8,rmse,0.23515066223580006
rho0.0_drift0.5,gbdte_auto,8,rmse,1.1455145417222992
rho0.0_drift0.5,gbdte_wrong,8,rmse,0.8029231728148758
rho0.0_drift0.5,gbdte_const,8,rmse,0.4747223278442204
rho0.0_drift0.5,gbdte,9,rmse,0.21243986041786772
rho0.0_drift0.5,gbdte_auto,9,rmse,1.1656584430966157
rho0.0_drift0.5,gbdte_wrong,9,rmse,0.5893122992851285
rho0.0_drift0.5,gbdte_const,9,rmse,0.47549999949353267
rho0.0_drift1.0,gbdte,0,rmse,0.22653984276037992
rho0.0_drift1.0,gbdte_auto,0,rmse,2.4120068950436937
rho0.0_drift1.0,gbdte_wrong,0,rmse,1.4744123793738229
rho0.0_drift1.0,gbdte_const,0,rmse,0.9590339894753568
rho0.0_drift1.0,gbdte,1,rmse,0.2929141789570603
rho0.0_drift1.0,gbdte_auto,1,rmse,2.4125324542315805
rho0.0_drift1.0,gbdte_wrong,1,rmse,1.4708950795685758
rho0.0_drift1.0,gbdte_const,1,rmse,0.9371700151929112
rho0.0_drift1.0,gbdte,2,rmse,0.27701392229965743
rho0.0_drift1.0,gbdte_auto,2,rmse,2.447734396909246
rho0.0_drift1.0,gbdte_wrong,2,rmse,1.1453871987777746
rho0.0_drift1.0,gbdte_const,2,rmse,0.9420098244665809
rho0.0_drift1.0,gbdte,3,rmse,0.3085815864999441
rho0.0_drift1.0,gbdte_auto,3,rmse,2.40278392422142
rho0.0_drift1.0,gbdte_wrong,3,rmse,0.9419591332649563
rho0.0_drift1.0,gbdte_const,3,rmse,0.9067308167556895
rho0.0_drift1.0,gbdte,4,rmse,0.26505132650441
rho0.0_drift1.0,gbdte_auto,4,rmse,2.3389275913573413
rho0.0_drift1.0,gbdte_wrong,4,rmse,1.0556061089458602
rho0.0_drift1.0,gbdte_const,4,rmse,0.9521200699424317
rho0.0_drift1.0,gbdte,5,rmse,0.25468412700070847
rho0.0_drift1.0,gbdte_auto,5,rmse,2.3485817701682445
rho0.0_drift1.0,gbdte_wrong,5,rmse,0.9956326021985958
rho0.0_drift1.0,gbdte_const,5,rmse,0.9251375990554919
rho0.0_drift1.0,gbdte,6,rmse,0.30675406460735133
rho0.0_drift1.0,gbdte_auto,6,rmse,2.3219954688873146
rho0.0_drift1.0,gbdte_wrong,6,rmse,1.234239013904162
rho0.0_drift1.0,gbdte_const,6,rmse,0.9419250580537601
rho0.0_drift1.0,gbdte,7,rmse,0.29857987251759766
rho0.0_drift1.0,gbdte_auto,7,rmse,2.380249759907098
rho0.0_drift1.0,gbdte_wrong,7,rmse,0.9769898315913783
rho0.0_drift1.0,gbdte_const,7,rmse,0.9351906397152178
rho0.0_drift1.0,gbdte,8,rmse,0.3082791808672506
rho0.0_drift1.0,gbdte_auto,8,rmse,2.2813081382880234
rho0.0_drift1.0,gbdte_wrong,8,rmse,1.3294032183404743
rho0.0_drift1.0,gbdte_const,8,rmse,0.9444733374209151
rho0.0_drift1.0,gbdte,9,rmse,0.2601635920957625
rho0.0_drift1.0,gbdte_auto,9,rmse,2.3244545868853796
rho0.0_drift1.0,gbdte_wrong,9,rmse,0.968793314324402
rho0.0_drift1.0,gbdte_const,9,rmse,0.9385266390936857
rho0.0_drift2.0,gbdte,0,rmse,0.3279285393416154
rho0.0_drift2.0,gbdte_auto,0,rmse,4.814012654901904
rho0.0_drift2.0,gbdte_wrong,0,rmse,2.4021727186302497
rho0.0_drift2.0,gbdte_const,0,rmse,1.9205987817854888
rho0.0_drift2.0,gbdte,1,rmse,0.368139838973232
rho0.0_drift2.0,gbdte_auto,1,rmse,4.850748835963345
rho0.0_drift2.0,gbdte_wrong,1,rmse,2.2232191486269404
rho0.0_drift2.0,gbdte_const,1,rmse,1.8801198545803075
rho0.0_drift2.0,gbdte,2,rmse,0.4262829522854047
rho0.0_drift2.0,gbdte_auto,2,rmse,4.903731853614337
rho0.0_drift2.0,gbdte_wrong,2,rmse,2.086936321032107
rho0.0_drift2.0,gbdte_const,2,rmse,1.8969783793289945
rho0.0_drift2.0,gbdte,3,rmse,0.4030858619700391
rho0.0_drift2.0,gbdte_auto,3,rmse,4.827274574910301
rho0.0_drift2.0,gbdte_wrong,3,rmse,1.7375426086130878
rho0.0_drift2.0,gbdte_const,3,rmse,1.816360128312856
rho0.0_drift2.0,gbdte,4,rmse,0.37659796119011035
rho0.0_drift2.0,gbdte_auto,4,rmse,4.680447736330464
rho0.0_drift2.0,gbdte_wrong,4,rmse,1.9358132076098271
rho0.0_drift2.0,gbdte_const,4,rmse,1.903832521113048
rho0.0_drift2.0,gbdte,5,rmse,0.3787682025491951
rho0.0_drift2.0,gbdte_auto,5,rmse,4.752405505853491
rho0.0_drift2.0,gbdte_wrong,5,rmse,1.9664267311330044
rho0.0_drift2.0,gbdte_const,5,rmse,1.8449279145077269
rho0.0_drift2.0,gbdte,6,rmse,0.45508030362168284
rho0.0_drift2.0,gbdte_auto,6,rmse,4.650201988801751
rho0.0_drift2.0,gbdte_wrong,6,rmse,2.279850935131039
rho0.0_drift2.0,gbdte_const,6,rmse,1.8837117015945128
rho0.0_drift2.0,gbdte,7,rmse,0.4561705220335024
rho0.0_drift2.0,gbdte_auto,7,rmse,4.760929124382586
rho0.0_drift2.0,gbdte_wrong,7,rmse,2.029076043875496
rho0.0_drift2.0,gbdte_const,7,rmse,1.879472964200972
rho0.0_drift2.0,gbdte,8,rmse,0.40393712116493286
rho0.0_drift2.0,gbdte_auto,8,rmse,4.610265649748099
rho0.0_drift2.0,gbdte_wrong,8,rmse,2.306933170404997
rho0.0_drift2.0,gbdte_const,8,rmse,1.8865665221268741
rho0.0_drift2.0,gbdte,9,rmse,0.36448799781951746
rho0.0_drift2.0,gbdte_auto,9,rmse,4.634190937706837
rho0.0_drift2.0,gbdte_wrong,9,rmse,1.8652073858461287
rho0.0_drift2.0,gbdte_const,9,rmse,1.8732834221540449
rho0.25_drift0.0,gbdte,0,rmse,0.8585056844742259
rho0.25_drift0.0,gbdte_auto,0,rmse,0.26558448307145394
rho0.25_drift0.0,gbdte_wrong,0,rmse,0.5365935113524402
rho0.25_drift0.0,gbdte_const,0,rmse,0.17296027908478248
rho0.25_drift0.0,gbdte,1,rmse,0.7006068343244205
rho0.25_drift0.0,gbdte_auto,1,rmse,0.1952367629337829
rho0.25_drift0.0,gbdte_wrong,1,rmse,0.5366540684798158
rho0.25_drift0.0,gbdte_const,1,rmse,0.15536210869938855
rho0.25_drift0.0,gbdte,2,rmse,0.6837775415952345
rho0.25_drift0.0,gbdte_auto,2,rmse,0.27252235788194445
rho0.25_drift0.0,gbdte_wrong,2,rmse,0.4218024964845001
rho0.25_drift0.0,gbdte_const,2,rmse,0.152571907178014
rho0.25_drift0.0,gbdte,3,rmse,0.6809813487367419
rho0.25_drift0.0,gbdte_auto,3,rmse,0.17951258203479256
rho0.25_drift0.0,gbdte_wrong,3,rmse,0.414982189984707
rho0.25_drift0.0,gbdte_const,3,rmse,0.14238990400365362
rho0.25_drift0.0,gbdte,4,rmse,1.2726394919594002
rho0.25_drift0.0,gbdte_auto,4,rmse,0.32622976494742134
rho0.25_drift0.0,gbdte_wrong,4,rmse,0.4899910136337191
rho0.25_drift0.0,gbdte_const,4,rmse,0.19059945866933303
rho0.25_drift0.0,gbdte,5,rmse,0.7875250974544636
rho0.25_drift0.0,gbdte_auto,5,rmse,0.26100257431060236
rho0.25_drift0.0,gbdte_wrong,5,rmse,0.4336549793497744
rho0.25_drift0.0,gbdte_const,5,rmse,0.18738535809187848
rho0.25_drift0.0,gbdte,6,rmse,0.6398002289115297
rho0.25_drift0.0,gbdte_auto,6,rmse,0.1743755885369821
rho0.25_drift0.0,gbdte_wrong,6,rmse,0.5396331100260134
rho0.25_drift0.0,gbdte_const,6,rmse,0.1265515518423183
rho0.25_drift0.0,gbdte,7,rmse,0.7720704604318753
rho0.25_drift0.0,gbdte_auto,7,rmse,0.23944991263526327
rho0.25_drift0.0,gbdte_wrong,7,rmse,0.508946192530013
rho0.25_drift0.0,gbdte_const,7,rmse,0.1646559795441007
rho0.25_drift0.0,gbdte,8,rmse,1.0063226794813396
rho0.25_drift0.0,gbdte_auto,8,rmse,0.24129260773640054
rho0.25_drift0.0,gbdte_wrong,8,rmse,0.5021537180627389
rho0.25_drift0.0,gbdte_const,8,rmse,0.18834535132484398
rho0.25_drift0.0,gbdte,9,rmse,0.7924850629621256
rho0.25_drift0.0,gbdte_auto,9,rmse,0.24310478208744313
rho0.25_drift0.0,gbdte_wrong,9,rmse,0.48115373871368805
rho0.25_drift0.0,gbdte_const,9,rmse,0.15898321460924975
rho0.25_drift0.5,gbdte,0,rmse,0.8127952542799332
rho0.25_drift0.5,gbdte_auto,0,rmse,0.930801803786818
rho0.25_drift0.5,gbdte_wrong,0,rmse,0.7563568538239558
rho0.25_drift0.5,gbdte_const,0,rmse,0.43315254067991776
rho0.25_drift0.5,gbdte,1,rmse,0.8726094748974629
rho0.25_drift0.5,gbdte_auto,1,rmse,0.9338403872486192
rho0.25_drift0.5,gbdte_wrong,1,rmse,0.9053362197198491
rho0.25_drift0.5,gbdte_const,1,rmse,0.4078170482222649
rho0.25_drift0.5,gbdte,2,rmse,0.7857692538151897
rho0.25_drift0.5,gbdte_auto,2,rmse,0.9235821136385011
rho0.25_drift0.5,gbdte_wrong,2,rmse,0.5265893668780326
rho0.25_drift0.5,gbdte_const,2,rmse,0.40591419432560666
rho0.25_drift0.5,gbdte,3,rmse,0.718679106832231
rho0.25_drift0.5,gbdte_auto,3,rmse,0.9247638814696659
rho0.25_drift0.5,gbdte_wrong,3,rmse,0.5515471878124675
rho0.25_drift0.5,gbdte_const,3,rmse,0.40316093235602973
rho0.25_drift0.5,gbdte,4,rmse,1.2539401892966409
rho0.25_drift0.5,gbdte_auto,4,rmse,0.9675809875113948
rho0.25_drift0.5,gbdte_wrong,4,rmse,0.630136240850326
rho0.25_drift0.5,gbdte_const,4,rmse,0.449790974399345
rho0.25_drift0.5,gbdte,5,rmse,0.939666835988695
rho0.25_drift0.5,gbdte_auto,5,rmse,0.961098729113177
rho0.25_drift0.5,gbdte_wrong,5,rmse,0.5628990035267759
rho0.25_drift0.5,gbdte_const,5,rmse,0.42213156515333666
rho0.25_drift0.5,gbdte,6,rmse,0.6663847858950112
rho0.25_drift0.5,gbdte_auto,6,rmse,0.9751342030084797
rho0.25_drift0.5,gbdte_wrong,6,rmse,0.6132217680071032
rho0.25_drift0.5,gbdte_const,6,rmse,0.43365638060135714
rho0.25_drift0.5,gbdte,7,rmse,0.8868069529712675
rho0.25_drift0.5,gbdte_auto,7,rmse,0.9568037726024092
rho0.25_drift0.5,gbdte_wrong,7,rmse,0.7049108428116101
rho0.25_drift0.5,gbdte_const,7,rmse,0.44138842707048825
rho0.25_drift0.5,gbdte,8,rmse,0.8453463117560771
rho0.25_drift0.5,gbdte_auto,8,rmse,0.9040050959037332
rho0.25_drift0.5,gbdte_wrong,8,rmse,1.6927541967816262
rho0.25_drift0.5,gbdte_const,8,rmse,0.4285163775472932
rho0.25_drift0.5,gbdte,9,rmse,0.7347164574700754
rho0.25_drift0.5,gbdte_auto,9,rmse,0.944543862809136
rho0.25_drift0.5,gbdte_wrong,9,rmse,0.5658024786829602
rho0.25_drift0.5,gbdte_const,9,rmse,0.4329501707187498
rho0.25_drift1.0,gbdte,0,rmse,1.0968617033781554
rho0.25_drift1.0,gbdte_auto,0,rmse,1.8391301834070806
rho0.25_drift1.0,gbdte_wrong,0,rmse,1.2674511607503032
rho0.25_drift1.0,gbdte_const,0,rmse,0.8157488216519615
rho0.25_drift1.0,gbdte,1,rmse,1.015617975996003
