bench,model,seed,metric,value
classical,gbdte,0,auc,0.5473166317176914
classical,gbdte,0,logloss,0.6724802818036212
classical,gbdte_auto,0,auc,0.5473166317176914
classical,gbdte_auto,0,logloss,0.6724802818036212
classical,gbdte_wrong,0,auc,0.5154667109476387
classical,gbdte_wrong,0,logloss,0.8224248869469559
classical,gbdte_all_in_leaf,0,auc,0.5633184498551393
classical,gbdte_all_in_leaf,0,logloss,0.7255198462411357
classical,gbdte_const,0,auc,0.49227734666997686
classical,gbdte_const,0,logloss,0.6932386751748719
classical,lgbm_linear,0,auc,0.4921201546725628
classical,lgbm_linear,0,logloss,1.3613311122316445
classical,lgbm,0,auc,0.4974420512996697
classical,lgbm,0,logloss,0.6263716074935527
classical,xgb,0,auc,0.49357435106494507
classical,xgb,0,logloss,0.6405673243841253
classical,catboost,0,auc,0.4970583419529899
classical,catboost,0,logloss,0.6378036633903053
classical,oracle,0,auc,0.6742092922147427
classical,oracle,0,logloss,0.5542898168907575
classical,gbdte,1,auc,0.5419462501232701
classical,gbdte,1,logloss,0.6740831571794338
classical,gbdte_auto,1,auc,0.5419462501232701
classical,gbdte_auto,1,logloss,0.6740831571794338
classical,gbdte_wrong,1,auc,0.5327876662091976
classical,gbdte_wrong,1,logloss,0.8819602652528663
classical,gbdte_all_in_leaf,1,auc,0.5227774912889123
classical,gbdte_all_in_leaf,1,logloss,0.7175720738147193
classical,gbdte_const,1,auc,0.4822076289816245
classical,gbdte_const,1,logloss,0.7121472885454049
classical,lgbm_linear,1,auc,0.47953555674944937
classical,lgbm_linear,1,logloss,5.873630481745955
classical,lgbm,1,auc,0.4872823768942507
classical,lgbm,1,logloss,0.7095367383706793
classical,xgb,1,auc,0.48790720226159556
classical,xgb,1,logloss,0.6957097850780012
classical,catboost,1,auc,0.4893951110047336
classical,catboost,1,logloss,0.6936389157929821
classical,oracle,1,auc,0.6816571252177772
classical,oracle,1,logloss,0.567115832811525
classical,gbdte,2,auc,0.534411084210943
classical,gbdte,2,logloss,0.7025895708014721
classical,gbdte_auto,2,auc,0.534411084210943
classical,gbdte_auto,2,logloss,0.7025895708014721
classical,gbdte_wrong,2,auc,0.4220177541109964
classical,gbdte_wrong,2,logloss,0.9053570789891132
classical,gbdte_all_in_leaf,2,auc,0.5353923701463141
classical,gbdte_all_in_leaf,2,logloss,0.7572492833003606
classical,gbdte_const,2,auc,0.48981141036709674
classical,gbdte_const,2,logloss,0.7163520580042902
classical,lgbm_linear,2,auc,0.5070412028735551
classical,lgbm_linear,2,logloss,1.1761993045916281
classical,lgbm,2,auc,0.49709531849866206
classical,lgbm,2,logloss,0.6536220902452078
classical,xgb,2,auc,0.49953739760662297
classical,xgb,2,logloss,0.6542151397818634
classical,catboost,2,auc,0.4951051756326068
classical,catboost,2,logloss,0.6619910570420626
classical,oracle,2,auc,0.6657446818501681
classical,oracle,2,logloss,0.5692643862205119
classical,gbdte,3,auc,0.536703943209145
classical,gbdte,3,logloss,0.7054795536440311
classical,gbdte_auto,3,auc,0.536703943209145
classical,gbdte_auto,3,logloss,0.7054795536440311
classical,gbdte_wrong,3,auc,0.4840533023169221
classical,gbdte_wrong,3,logloss,0.7316764702341167
classical,gbdte_all_in_leaf,3,auc,0.5022473561486627
classical,gbdte_all_in_leaf,3,logloss,0.7790119268633328
classical,gbdte_const,3,auc,0.4702232214363492
