bench,model,seed,metric,value
owid_childmort,gbdte,0,rmse,0.3824466577177975
owid_childmort,gbdte_auto,0,rmse,0.32933450806891135
owid_childmort,gbdte_const,0,rmse,0.6382359218424318
owid_childmort,lgbm,0,rmse,0.3739835891663081
owid_childmort,lgbm_linear,0,rmse,0.2491013008585027
owid_childmort,xgb,0,rmse,0.3573921906291204
owid_childmort,catboost,0,rmse,0.3842309920465373
owid_childmort,linear,0,rmse,0.7384714892071772
owid_childmort,detrend_lgbm,0,rmse,0.280677299715465
owid_childmort,gbdte,1,rmse,0.3824466577177975
owid_childmort,gbdte_auto,1,rmse,0.32933450806891135
owid_childmort,gbdte_const,1,rmse,0.6382359218424318
owid_childmort,lgbm,1,rmse,0.3739835891663081
owid_childmort,lgbm_linear,1,rmse,0.2491013008585027
owid_childmort,xgb,1,rmse,0.3573921906291204
owid_childmort,catboost,1,rmse,0.3842309920465373
owid_childmort,linear,1,rmse,0.7384714892071772
owid_childmort,detrend_lgbm,1,rmse,0.280677299715465
owid_childmort,gbdte,2,rmse,0.3824466577177975
owid_childmort,gbdte_auto,2,rmse,0.32933450806891135
owid_childmort,gbdte_const,2,rmse,0.6382359218424318
owid_childmort,lgbm,2,rmse,0.3739835891663081
owid_childmort,lgbm_linear,2,rmse,0.2491013008585027
owid_childmort,xgb,2,rmse,0.3573921906291204
owid_childmort,catboost,2,rmse,0.3842309920465373
owid_childmort,linear,2,rmse,0.7384714892071772
owid_childmort,detrend_lgbm,2,rmse,0.280677299715465
owid_childmort,gbdte,3,rmse,0.3824466577177975
owid_childmort,gbdte_auto,3,rmse,0.32933450806891135
owid_childmort,gbdte_const,3,rmse,0.6382359218424318
owid_childmort,lgbm,3,rmse,0.3739835891663081
owid_childmort,lgbm_linear,3,rmse,0.2491013008585027
owid_childmort,xgb,3,rmse,0.3573921906291204
owid_childmort,catboost,3,rmse,0.3842309920465373
owid_childmort,linear,3,rmse,0.7384714892071772
owid_childmort,detrend_lgbm,3,rmse,0.280677299715465
owid_childmort,gbdte,4,rmse,0.3824466577177975
owid_childmort,gbdte_auto,4,rmse,0.32933450806891135
owid_childmort,gbdte_const,4,rmse,0.6382359218424318
owid_childmort,lgbm,4,rmse,0.3739835891663081
owid_childmort,lgbm_linear,4,rmse,0.2491013008585027
owid_childmort,xgb,4,rmse,0.3573921906291204
owid_childmort,catboost,4,rmse,0.3842309920465373
owid_childmort,linear,4,rmse,0.7384714892071772
owid_childmort,detrend_lgbm,4,rmse,0.280677299715465
