bench,model,seed,metric,value
weather,gbdte,0,rmse,1.7939632539303996
weather,gbdte_auto,0,rmse,1.9053136058306406
weather,gbdte_const,0,rmse,1.735156265700517
weather,lgbm_linear,0,rmse,1.7939858315488062
weather,lgbm,0,rmse,1.6811295605593315
weather,xgb,0,rmse,1.7006240513514312
weather,catboost,0,rmse,1.6762387461853414
weather,gbdte,1,rmse,1.9222253839958416
weather,gbdte_auto,1,rmse,2.1200765703630946
weather,gbdte_const,1,rmse,1.752861012505789
weather,lgbm_linear,1,rmse,1.7954379345599571
weather,lgbm,1,rmse,1.6979316691627784
weather,xgb,1,rmse,1.7132762314702707
weather,catboost,1,rmse,1.6841889028807038
weather,gbdte,2,rmse,1.8498379898272659
weather,gbdte_auto,2,rmse,1.8394746612475914
weather,gbdte_const,2,rmse,1.7542274478427673
weather,lgbm_linear,2,rmse,1.794029816716216
weather,lgbm,2,rmse,1.688449780824613
weather,xgb,2,rmse,1.7139182402669988
weather,catboost,2,rmse,1.676127073839259
weather,gbdte,3,rmse,1.8349316474296313
weather,gbdte_auto,3,rmse,1.8545197235282407
weather,gbdte_const,3,rmse,1.747402392365721
weather,lgbm_linear,3,rmse,1.7815306133792406
weather,lgbm,3,rmse,1.685992263344496
weather,xgb,3,rmse,1.71363849307142
weather,catboost,3,rmse,1.6929173647321374
weather,gbdte,4,rmse,1.9222988762624904
weather,gbdte_auto,4,rmse,2.254088528493386
weather,gbdte_const,4,rmse,1.7965842171385862
weather,lgbm_linear,4,rmse,1.8372756408609987
weather,lgbm,4,rmse,1.73932943085417
weather,xgb,4,rmse,1.7521803020810083
weather,catboost,4,rmse,1.7327788049100268
sberbank,gbdte,0,rmse,3379815.7799445814
sberbank,gbdte_auto,0,rmse,3379815.7799445814
sberbank,gbdte_const,0,rmse,2846456.154156548
sberbank,lgbm_linear,0,rmse,2618223.5153107196
sberbank,lgbm,0,rmse,2847315.332584112
sberbank,xgb,0,rmse,2720201.012145249
sberbank,catboost,0,rmse,2743389.282634901
