bench,model,seed,metric,value
weather,gbdte,0,rmse,1.9586908629848738
weather,gbdte_auto,0,rmse,1.8718887643500275
weather,gbdte_const,0,rmse,1.732628354879487
weather,lgbm_linear,0,rmse,1.7000172042662824
weather,lgbm,0,rmse,1.6831105796877666
weather,xgb,0,rmse,1.6989963018602543
weather,catboost,0,rmse,1.6779745969851225
weather,gbdte,1,rmse,2.0245909429122793
weather,gbdte_auto,1,rmse,3.2547600297784505
weather,gbdte_const,1,rmse,1.7504754850385316
weather,lgbm_linear,1,rmse,1.7179610933405165
weather,lgbm,1,rmse,1.696140121118945
weather,xgb,1,rmse,1.7071214378330815
weather,catboost,1,rmse,1.6830095928690743
weather,gbdte,2,rmse,2.366768841954005
weather,gbdte_auto,2,rmse,1.9236332317431022
weather,gbdte_const,2,rmse,1.7662070134361776
weather,lgbm_linear,2,rmse,1.7045007098376774
weather,lgbm,2,rmse,1.6995279388937048
weather,xgb,2,rmse,1.708366542282039
weather,catboost,2,rmse,1.6824738918566573
weather,gbdte,3,rmse,2.6835389196330897
weather,gbdte_auto,3,rmse,1.8530982002066771
weather,gbdte_const,3,rmse,1.7446701941150449
weather,lgbm_linear,3,rmse,1.805590926560957
weather,lgbm,3,rmse,1.6928636945330113
weather,xgb,3,rmse,1.7145087500411573
weather,catboost,3,rmse,1.6904397478547342
weather,gbdte,4,rmse,2.928892326071074
weather,gbdte_auto,4,rmse,1.94458383994663
weather,gbdte_const,4,rmse,1.7931112563808602
weather,lgbm_linear,4,rmse,1.7465523487976335
weather,lgbm,4,rmse,1.7285217809238238
weather,xgb,4,rmse,1.7554248139287187
weather,catboost,4,rmse,1.7209210731065572
