bench,model,seed,metric,value
latam,gbdte,0,rmse,0.9020789313619834
latam,gbdte_auto,0,rmse,0.9020789313619834
latam,gbdte_const,0,rmse,0.8980475134363584
latam,lgbm_linear,0,rmse,0.9014266582883123
latam,lgbm,0,rmse,0.8965420434278422
latam,xgb,0,rmse,0.8998991433224311
latam,catboost,0,rmse,0.8968465892023857
latam,gbdte,1,rmse,0.8730228371517135
latam,gbdte_auto,1,rmse,0.8730228371517135
latam,gbdte_const,1,rmse,0.8656006572025857
latam,lgbm_linear,1,rmse,0.8683038671478762
latam,lgbm,1,rmse,0.8650881066009852
latam,xgb,1,rmse,0.8665791104810437
latam,catboost,1,rmse,0.8641746362338262
latam,gbdte,2,rmse,0.8963079921790167
latam,gbdte_auto,2,rmse,0.8963079921790167
latam,gbdte_const,2,rmse,0.8878720289915044
latam,lgbm_linear,2,rmse,0.8888384399378346
latam,lgbm,2,rmse,0.8873784224650022
latam,xgb,2,rmse,0.8881658446202549
latam,catboost,2,rmse,0.8863945516641873
latam,gbdte,3,rmse,0.8643031424338358
latam,gbdte_auto,3,rmse,0.8643031424338358
latam,gbdte_const,3,rmse,0.8493423345075642
latam,lgbm_linear,3,rmse,0.8489226301831739
latam,lgbm,3,rmse,0.8498228188016507
latam,xgb,3,rmse,0.8502975967970237
latam,catboost,3,rmse,0.8494655227240323
latam,gbdte,4,rmse,0.8865072394312388
latam,gbdte_auto,4,rmse,0.8865072394312388
latam,gbdte_const,4,rmse,0.8791403163036177
latam,lgbm_linear,4,rmse,0.880293551748861
latam,lgbm,4,rmse,0.8779230645619711
latam,xgb,4,rmse,0.8788419610835987
latam,catboost,4,rmse,0.8783337445207052
