bench,model,seed,metric,value
rho0.0_drift0.0,gbdte,0,rmse,0.22970573207135708
rho0.0_drift0.0,lgbm,0,rmse,0.054059168386437734
rho0.0_drift0.0,gbdte,1,rmse,0.1898841004778059
rho0.0_drift0.0,lgbm,1,rmse,0.05298902375481662
rho0.0_drift0.0,gbdte,2,rmse,0.20241094108207294
rho0.0_drift0.0,lgbm,2,rmse,0.05425242846205565
rho0.0_drift0.0,gbdte,3,rmse,0.21963811492331378
rho0.0_drift0.0,lgbm,3,rmse,0.05430066072395077
rho0.0_drift0.0,gbdte,4,rmse,0.2588679900980633
rho0.0_drift0.0,lgbm,4,rmse,0.056377721426442845
rho0.0_drift0.0,gbdte,5,rmse,0.23033008439442978
rho0.0_drift0.0,lgbm,5,rmse,0.05515307389546317
rho0.0_drift0.0,gbdte,6,rmse,0.2481776881829348
rho0.0_drift0.0,lgbm,6,rmse,0.05368927643759313
rho0.0_drift0.0,gbdte,7,rmse,0.2507784245801967
rho0.0_drift0.0,lgbm,7,rmse,0.05402456615084605
rho0.0_drift0.0,gbdte,8,rmse,0.2073691593755099
rho0.0_drift0.0,lgbm,8,rmse,0.05369453891901551
rho0.0_drift0.0,gbdte,9,rmse,0.20228614158925884
rho0.0_drift0.0,lgbm,9,rmse,0.05397377254453936
rho0.0_drift0.5,gbdte,0,rmse,0.23140763701615016
rho0.0_drift0.5,lgbm,0,rmse,0.5939346866332658
rho0.0_drift0.5,gbdte,1,rmse,0.22667633752999145
rho0.0_drift0.5,lgbm,1,rmse,0.5717494186231133
rho0.0_drift0.5,gbdte,2,rmse,0.2347633181868709
rho0.0_drift0.5,lgbm,2,rmse,0.5828327323228071
rho0.0_drift0.5,gbdte,3,rmse,0.24316321304305782
rho0.0_drift0.5,lgbm,3,rmse,0.5712048292723904
rho0.0_drift0.5,gbdte,4,rmse,0.22561524886966416
rho0.0_drift0.5,lgbm,4,rmse,0.5716353727868826
rho0.0_drift0.5,gbdte,5,rmse,0.2298433830742449
rho0.0_drift0.5,lgbm,5,rmse,0.5690066687102179
rho0.0_drift0.5,gbdte,6,rmse,0.31773658147496064
rho0.0_drift0.5,lgbm,6,rmse,0.5542146997805245
rho0.0_drift0.5,gbdte,7,rmse,0.2633240604289082
rho0.0_drift0.5,lgbm,7,rmse,0.580275440043937
rho0.0_drift0.5,gbdte,8,rmse,0.23515066223580006
rho0.0_drift0.5,lgbm,8,rmse,0.5537294198886162
rho0.0_drift0.5,gbdte,9,rmse,0.21243986041786772
rho0.0_drift0.5,lgbm,9,rmse,0.5668358022155514
rho0.0_drift1.0,gbdte,0,rmse,0.22653984276037992
rho0.0_drift1.0,lgbm,0,rmse,1.1393835880488705
rho0.0_drift1.0,gbdte,1,rmse,0.2929141789570603
rho0.0_drift1.0,lgbm,1,rmse,1.1353329135233077
rho0.0_drift1.0,gbdte,2,rmse,0.27701392229965743
rho0.0_drift1.0,lgbm,2,rmse,1.1567374526073047
rho0.0_drift1.0,gbdte,3,rmse,0.3085815864999441
rho0.0_drift1.0,lgbm,3,rmse,1.1557373913680071
rho0.0_drift1.0,gbdte,4,rmse,0.26505132650441
rho0.0_drift1.0,lgbm,4,rmse,1.1237673533581283
rho0.0_drift1.0,gbdte,5,rmse,0.25468412700070847
rho0.0_drift1.0,lgbm,5,rmse,1.1622623031412218
rho0.0_drift1.0,gbdte,6,rmse,0.30675406460735133
rho0.0_drift1.0,lgbm,6,rmse,1.0956972590617018
rho0.0_drift1.0,gbdte,7,rmse,0.29857987251759766
rho0.0_drift1.0,lgbm,7,rmse,1.1721681371062045
rho0.0_drift1.0,gbdte,8,rmse,0.3082791808672506
rho0.0_drift1.0,lgbm,8,rmse,1.1131479667290676
rho0.0_drift1.0,gbdte,9,rmse,0.2601635920957625
rho0.0_drift1.0,lgbm,9,rmse,1.123828598928691
rho0.0_drift2.0,gbdte,0,rmse,0.3279285393416154
rho0.0_drift2.0,lgbm,0,rmse,2.264596028927143
rho0.0_drift2.0,gbdte,1,rmse,0.368139838973232
rho0.0_drift2.0,lgbm,1,rmse,2.2699162339727827
rho0.0_drift2.0,gbdte,2,rmse,0.4262829522854047
rho0.0_drift2.0,lgbm,2,rmse,2.295245564996193
rho0.0_drift2.0,gbdte,3,rmse,0.4030858619700391
rho0.0_drift2.0,lgbm,3,rmse,2.2285891598456073
rho0.0_drift2.0,gbdte,4,rmse,0.37659796119011035
rho0.0_drift2.0,lgbm,4,rmse,2.2477919361319447
rho0.0_drift2.0,gbdte,5,rmse,0.3787682025491951
rho0.0_drift2.0,lgbm,5,rmse,2.3194261967640393
rho0.0_drift2.0,gbdte,6,rmse,0.45508030362168284
rho0.0_drift2.0,lgbm,6,rmse,2.162804496099697
rho0.0_drift2.0,gbdte,7,rmse,0.4561705220335024
rho0.0_drift2.0,lgbm,7,rmse,2.286505495318016
rho0.0_drift2.0,gbdte,8,rmse,0.40393712116493286
rho0.0_drift2.0,lgbm,8,rmse,2.2076481187530645
rho0.0_drift2.0,gbdte,9,rmse,0.36448799781951746
rho0.0_drift2.0,lgbm,9,rmse,2.231831546459869
rho0.25_drift0.0,gbdte,0,rmse,0.8585056844742259
rho0.25_drift0.0,lgbm,0,rmse,0.11428876480207516
rho0.25_drift0.0,gbdte,1,rmse,0.7006068343244205
rho0.25_drift0.0,lgbm,1,rmse,0.12398849405677831
rho0.25_drift0.0,gbdte,2,rmse,0.6837775415952345
